source,target,type,weight
checkout-invoice-3,checkout-payment-3,reads,4
checkout-invoice-3,checkout-refund-1,subscribes,6
checkout-refund-1,checkout-payment-2,reads,5
checkout-refund-1,checkout-tax-2,reads,7
checkout-refund-1,checkout-payment-1,subscribes,4
checkout-refund-1,checkout-refund-2,publishes,4
checkout-refund-2,checkout-payment-1,calls,6
checkout-refund-2,checkout-pricing-2,publishes,2
checkout-refund-2,checkout-payment-2,calls,3
checkout-refund-2,checkout-refund-3,subscribes,8
checkout-refund-3,checkout-payment-3,subscribes,9
checkout-refund-3,checkout-payment-1,subscribes,6
checkout-refund-3,checkout-invoice-2,calls,6
checkout-refund-3,checkout-refund-2,publishes,1
catalog-search-1,catalog-pricing-feed-2,publishes,5
catalog-search-1,catalog-inventory-1,calls,5
catalog-search-1,catalog-inventory-2,subscribes,3
catalog-search-1,catalog-search-2,reads,8
catalog-search-2,catalog-search-1,calls,3
catalog-search-2,catalog-pricing-feed-1,subscribes,2
catalog-search-2,catalog-ranking-2,publishes,2
catalog-search-2,catalog-ranking-1,reads,2
catalog-search-2,catalog-search-3,subscribes,4
catalog-search-3,catalog-ranking-2,calls,8
catalog-search-3,catalog-inventory-3,reads,3
catalog-search-3,catalog-search-1,publishes,5
catalog-search-3,catalog-ranking-1,reads,9
catalog-ranking-1,catalog-media-1,calls,4
catalog-ranking-1,catalog-pricing-feed-2,subscribes,7
catalog-ranking-1,catalog-pricing-feed-1,subscribes,3
catalog-ranking-1,catalog-inventory-3,reads,8
catalog-ranking-1,catalog-ranking-2,subscribes,1
catalog-ranking-2,catalog-media-3,subscribes,6
catalog-ranking-2,catalog-inventory-1,reads,6
catalog-ranking-2,catalog-inventory-2,calls,2
catalog-ranking-2,catalog-pricing-feed-3,reads,4
catalog-ranking-2,catalog-ranking-3,calls,7
catalog-ranking-3,catalog-ranking-2,calls,5
catalog-ranking-3,catalog-media-3,calls,6
catalog-ranking-3,catalog-pricing-feed-1,subscribes,1
catalog-ranking-3,catalog-media-1,subscribes,6
catalog-media-1,catalog-pricing-feed-1,calls,4
catalog-media-1,catalog-ranking-2,calls,7
catalog-media-1,catalog-media-2,publishes,3
catalog-media-1,catalog-search-1,subscribes,3
catalog-media-1,catalog-media-2,subscribes,3
catalog-media-2,catalog-pricing-feed-3,reads,2
catalog-media-2,catalog-inventory-1,publishes,8
catalog-media-2,catalog-inventory-3,reads,9
catalog-media-2,catalog-media-3,publishes,9
catalog-media-3,catalog-ranking-2,publishes,4
catalog-media-3,catalog-inventory-2,publishes,3
catalog-media-3,catalog-media-1,reads,8
catalog-media-3,catalog-inventory-1,calls,7
catalog-media-3,catalog-inventory-1,calls,9
catalog-inventory-1,catalog-media-1,subscribes,1
catalog-inventory-1,catalog-search-1,calls,9
catalog-inventory-1,catalog-media-3,calls,8
catalog-inventory-1,catalog-inventory-2,calls,3
catalog-inventory-2,catalog-pricing-feed-3,publishes,7
catalog-inventory-2,catalog-media-3,subscribes,4
catalog-inventory-2,catalog-media-2,reads,8
catalog-inventory-2,catalog-media-1,subscribes,6
catalog-inventory-2,catalog-inventory-3,publishes,8
catalog-inventory-3,catalog-search-2,publishes,1
catalog-inventory-3,catalog-ranking-1,calls,3
catalog-inventory-3,catalog-media-1,reads,1
catalog-inventory-3,catalog-inventory-1,reads,3
catalog-inventory-3,catalog-pricing-feed-1,publishes,1
catalog-pricing-feed-1,catalog-ranking-3,calls,8
catalog-pricing-feed-1,catalog-inventory-3,calls,8
catalog-pricing-feed-1,catalog-pricing-feed-3,publishes,9
catalog-pricing-feed-1,catalog-ranking-1,subscribes,4
catalog-pricing-feed-1,catalog-pricing-feed-2,subscribes,1
catalog-pricing-feed-2,catalog-inventory-2,reads,3
catalog-pricing-feed-2,catalog-media-1,reads,9
catalog-pricing-feed-2,catalog-media-3,reads,9
catalog-pricing-feed-2,catalog-inventory-1,reads,9
catalog-pricing-feed-2,catalog-pricing-feed-3,publishes,4
catalog-pricing-feed-3,catalog-search-3,reads,6
catalog-pricing-feed-3,catalog-ranking-3,reads,4
catalog-pricing-feed-3,catalog-inventory-1,reads,2
identity-signin-1,identity-audit-3,publishes,2
identity-signin-1,identity-session-1,calls,7
identity-signin-1,identity-signin-3,subscribes,7
identity-signin-1,identity-consent-3,reads,9
identity-signin-1,identity-signin-2,subscribes,4
identity-signin-2,identity-consent-2,reads,2
identity-signin-2,identity-audit-3,publishes,6
identity-signin-2,identity-audit-1,publishes,2
identity-signin-2,identity-signin-1,reads,9
identity-signin-2,identity-signin-3,subscribes,2
identity-signin-3,identity-signin-2,subscribes,9
identity-signin-3,identity-signin-1,reads,3
identity-signin-3,identity-audit-2,calls,3
identity-signin-3,identity-profile-3,reads,4
identity-signin-3,identity-session-1,publishes,3
identity-session-1,identity-audit-3,reads,1
identity-session-1,identity-consent-2,calls,8
identity-session-1,identity-signin-2,publishes,2
identity-session-1,identity-consent-1,subscribes,7
identity-session-1,identity-session-2,publishes,7
identity-session-2,identity-profile-1,calls,1
identity-session-2,identity-session-1,reads,4
identity-session-2,identity-consent-1,subscribes,7
identity-session-2,identity-session-3,publishes,6
identity-session-2,identity-session-3,reads,7
identity-session-3,identity-consent-1,publishes,1
identity-session-3,identity-signin-3,subscribes,2
identity-session-3,identity-signin-2,publishes,4
identity-session-3,identity-profile-3,publishes,5
identity-session-3,identity-profile-1,reads,2
identity-profile-1,identity-audit-2,publishes,9
identity-profile-1,identity-signin-3,reads,7
identity-profile-1,identity-session-3,reads,7
identity-profile-1,identity-profile-2,calls,3
identity-profile-2,identity-audit-1,calls,2
identity-profile-2,identity-session-3,calls,6
identity-profile-2,identity-session-2,publishes,4
identity-profile-2,identity-profile-3,publishes,5
identity-profile-3,identity-session-1,calls,3
identity-profile-3,identity-consent-2,subscribes,7
identity-profile-3,identity-profile-1,calls,4
identity-profile-3,identity-consent-1,calls,7
identity-profile-3,identity-consent-1,calls,2
identity-consent-1,identity-consent-3,calls,7
identity-consent-1,identity-session-1,subscribes,4
identity-consent-1,identity-session-2,calls,1
identity-consent-1,identity-profile-2,publishes,5
identity-consent-1,identity-consent-2,publishes,5
identity-consent-2,identity-profile-3,calls,9
identity-consent-2,identity-audit-3,calls,8
identity-consent-2,identity-audit-2,calls,9
identity-consent-2,identity-profile-1,reads,7
identity-consent-2,identity-consent-3,subscribes,7
identity-consent-3,identity-signin-3,subscribes,1
identity-consent-3,identity-audit-2,subscribes,8
identity-consent-3,identity-profile-2,subscribes,5
identity-consent-3,identity-profile-3,publishes,5
identity-consent-3,identity-audit-1,publishes,9
identity-audit-1,identity-profile-2,publishes,5
identity-audit-1,identity-consent-2,calls,1
identity-audit-1,identity-session-2,calls,4
identity-audit-1,identity-profile-3,subscribes,3
identity-audit-1,identity-audit-2,calls,7
identity-audit-2,identity-audit-3,publishes,1
identity-audit-2,identity-session-3,reads,2
identity-audit-2,identity-consent-3,subscribes,7
identity-audit-2,identity-profile-1,reads,5
identity-audit-2,identity-audit-3,calls,1
identity-audit-3,identity-audit-1,reads,3
identity-audit-3,identity-consent-3,calls,2
identity-audit-3,identity-profile-2,subscribes,7
delivery-routing-1,delivery-routing-2,reads,9
delivery-routing-1,delivery-warehouse-1,publishes,2
delivery-routing-1,delivery-warehouse-3,reads,8
delivery-routing-1,delivery-routing-2,subscribes,7
delivery-routing-2,delivery-carrier-1,reads,6
delivery-routing-2,delivery-warehouse-2,reads,5
delivery-routing-2,delivery-carrier-3,subscribes,4
delivery-routing-2,delivery-tracking-1,publishes,2
delivery-routing-2,delivery-routing-3,publishes,9
delivery-routing-3,delivery-warehouse-2,reads,5
delivery-routing-3,delivery-carrier-3,reads,4
delivery-routing-3,delivery-carrier-1,reads,9
delivery-routing-3,delivery-warehouse-1,calls,1
delivery-routing-3,delivery-warehouse-1,publishes,1
delivery-warehouse-1,delivery-warehouse-2,reads,2
delivery-warehouse-1,delivery-tracking-1,publishes,9
delivery-warehouse-1,delivery-routing-1,calls,2
delivery-warehouse-1,delivery-carrier-1,reads,3
delivery-warehouse-1,delivery-warehouse-2,subscribes,6
delivery-warehouse-2,delivery-tracking-2,subscribes,6
delivery-warehouse-2,delivery-warehouse-3,calls,3
delivery-warehouse-2,delivery-warehouse-1,subscribes,2
delivery-warehouse-2,delivery-carrier-2,subscribes,4
delivery-warehouse-2,delivery-warehouse-3,publishes,7
delivery-warehouse-3,delivery-tracking-1,publishes,6
delivery-warehouse-3,delivery-routing-3,reads,9
delivery-warehouse-3,delivery-carrier-2,publishes,7
delivery-warehouse-3,delivery-tracking-1,subscribes,2
delivery-tracking-1,delivery-warehouse-3,subscribes,7
delivery-tracking-1,delivery-routing-2,publishes,8
delivery-tracking-1,delivery-tracking-3,calls,1
delivery-tracking-1,delivery-carrier-2,reads,5
delivery-tracking-1,delivery-tracking-2,publishes,2
delivery-tracking-2,delivery-warehouse-3,publishes,4
delivery-tracking-2,delivery-warehouse-2,publishes,6
delivery-tracking-2,delivery-routing-3,publishes,2
delivery-tracking-2,delivery-tracking-3,publishes,8
delivery-tracking-3,delivery-tracking-2,reads,6
delivery-tracking-3,delivery-warehouse-2,reads,7
delivery-tracking-3,delivery-carrier-3,publishes,2
delivery-tracking-3,delivery-carrier-1,calls,6
delivery-carrier-1,delivery-warehouse-3,publishes,4
delivery-carrier-1,delivery-carrier-2,reads,7
delivery-carrier-1,delivery-tracking-1,reads,3
delivery-carrier-1,delivery-carrier-2,subscribes,2
delivery-carrier-2,delivery-warehouse-2,reads,1
delivery-carrier-2,delivery-routing-1,calls,5
delivery-carrier-2,delivery-warehouse-1,calls,7
delivery-carrier-2,delivery-tracking-3,publishes,9
delivery-carrier-2,delivery-carrier-3,calls,9
delivery-carrier-3,delivery-warehouse-3,calls,6
delivery-carrier-3,delivery-routing-2,reads,1
delivery-carrier-3,delivery-warehouse-2,subscribes,2
delivery-carrier-3,delivery-carrier-2,reads,4
insight-events-1,insight-report-2,publishes,7
insight-events-1,insight-report-3,publishes,6
insight-events-1,insight-warehouse-etl-3,subscribes,3
insight-events-1,insight-forecast-3,calls,8
insight-events-1,insight-events-2,subscribes,1
insight-events-2,insight-forecast-2,subscribes,2
insight-events-2,insight-warehouse-etl-3,calls,9
insight-events-2,insight-events-1,publishes,9
insight-events-2,insight-report-1,calls,1
insight-events-2,insight-events-3,subscribes,7
insight-events-3,insight-warehouse-etl-1,publishes,3
insight-events-3,insight-forecast-3,subscribes,4
insight-events-3,insight-report-1,publishes,7
insight-events-3,insight-warehouse-etl-1,calls,5
insight-warehouse-etl-1,insight-report-2,reads,3
insight-warehouse-etl-1,insight-warehouse-etl-2,subscribes,1
insight-warehouse-etl-1,insight-events-2,subscribes,1
insight-warehouse-etl-1,insight-forecast-2,publishes,1
insight-warehouse-etl-1,insight-warehouse-etl-2,reads,2
insight-warehouse-etl-2,insight-events-3,reads,8
insight-warehouse-etl-2,insight-warehouse-etl-3,reads,8
insight-warehouse-etl-2,insight-warehouse-etl-1,subscribes,5
insight-warehouse-etl-2,insight-forecast-1,publishes,3
insight-warehouse-etl-2,insight-warehouse-etl-3,subscribes,9
insight-warehouse-etl-3,insight-warehouse-etl-2,calls,9
insight-warehouse-etl-3,insight-report-2,reads,8
insight-warehouse-etl-3,insight-report-1,calls,7
insight-warehouse-etl-3,insight-report-1,reads,4
insight-report-1,insight-report-3,reads,1
insight-report-1,insight-forecast-2,subscribes,1
insight-report-1,insight-warehouse-etl-2,subscribes,6
insight-report-1,insight-report-2,subscribes,4
insight-report-2,insight-forecast-1,reads,6
insight-report-2,insight-events-3,reads,5
insight-report-2,insight-report-1,calls,5
insight-report-2,insight-forecast-2,reads,3
insight-report-2,insight-report-3,reads,1
insight-report-3,insight-events-3,calls,5
insight-report-3,insight-forecast-3,subscribes,8
insight-report-3,insight-events-2,publishes,2
insight-report-3,insight-warehouse-etl-3,reads,1
insight-report-3,insight-forecast-1,reads,7
insight-forecast-1,insight-forecast-2,subscribes,1
insight-forecast-1,insight-events-2,subscribes,9
insight-forecast-1,insight-report-2,publishes,3
insight-forecast-1,insight-warehouse-etl-1,publishes,6
insight-forecast-1,insight-forecast-2,calls,7
insight-forecast-2,insight-report-3,calls,6
insight-forecast-2,insight-warehouse-etl-2,calls,3
insight-forecast-2,insight-report-2,subscribes,7
insight-forecast-2,insight-events-2,subscribes,2
insight-forecast-2,insight-forecast-3,subscribes,1
insight-forecast-3,insight-report-2,subscribes,2
insight-forecast-3,insight-warehouse-etl-1,reads,1
insight-forecast-3,insight-warehouse-etl-2,publishes,3
checkout-invoice-1,catalog-pricing-feed-3,publishes,3
checkout-tax-2,catalog-pricing-feed-1,calls,2
checkout-payment-3,catalog-ranking-1,subscribes,1
catalog-inventory-3,identity-signin-2,publishes,2
catalog-ranking-2,identity-consent-1,publishes,2
catalog-media-2,identity-audit-2,calls,2
identity-signin-2,delivery-routing-3,calls,3
identity-signin-3,delivery-carrier-2,reads,3
identity-signin-3,delivery-warehouse-1,calls,2
delivery-tracking-2,insight-forecast-1,calls,3
delivery-routing-2,insight-warehouse-etl-1,reads,1
delivery-routing-2,insight-report-1,calls,2
insight-warehouse-etl-3,checkout-invoice-2,reads,3
insight-forecast-2,checkout-payment-1,subscribes,1
insight-report-2,checkout-tax-2,calls,2
delivery-warehouse-1,config,reads,1
identity-profile-2,config,calls,1
catalog-pricing-feed-2,config,reads,1
insight-report-2,config,calls,1
checkout-cart-3,config,reads,1
identity-signin-1,config,reads,1
identity-consent-1,config,subscribes,1
catalog-media-1,config,subscribes,1
identity-consent-2,config,publishes,1
catalog-search-2,config,publishes,1
identity-profile-3,config,calls,1
catalog-inventory-2,config,publishes,1
checkout-payment-1,config,publishes,1
identity-signin-3,config,subscribes,1
insight-warehouse-etl-2,config,calls,1
checkout-invoice-2,config,subscribes,1
catalog-pricing-feed-3,config,reads,1
catalog-ranking-1,config,reads,1
delivery-routing-3,config,calls,1
catalog-search-1,config,publishes,1
delivery-carrier-3,config,reads,1
identity-profile-1,config,publishes,1
identity-audit-1,config,reads,1
checkout-tax-2,config,calls,1
checkout-refund-2,config,calls,1
identity-signin-2,config,publishes,1
insight-events-3,config,publishes,1
delivery-carrier-2,config,reads,1
checkout-invoice-3,config,publishes,1
catalog-ranking-2,config,reads,1
delivery-warehouse-3,config,reads,1
delivery-tracking-2,config,calls,1
insight-forecast-2,config,subscribes,1
checkout-tax-1,config,calls,1
identity-session-1,config,subscribes,1
checkout-invoice-1,config,reads,1
checkout-refund-3,secrets,subscribes,1
identity-profile-1,secrets,publishes,1
delivery-routing-1,secrets,subscribes,1
checkout-cart-3,secrets,subscribes,1
catalog-search-3,secrets,subscribes,1
catalog-media-2,secrets,subscribes,1
delivery-warehouse-2,secrets,calls,1
delivery-carrier-3,secrets,calls,1
checkout-pricing-2,secrets,publishes,1
checkout-tax-1,secrets,subscribes,1
identity-signin-1,secrets,subscribes,1
catalog-media-1,secrets,calls,1
checkout-payment-2,secrets,publishes,1
identity-session-1,secrets,calls,1
insight-report-1,secrets,publishes,1
checkout-tax-3,secrets,subscribes,1
catalog-ranking-1,secrets,subscribes,1
insight-events-2,secrets,publishes,1
checkout-payment-3,secrets,publishes,1
checkout-refund-2,secrets,calls,1
checkout-refund-1,secrets,reads,1
delivery-carrier-2,secrets,calls,1
delivery-tracking-2,secrets,subscribes,1
checkout-pricing-1,secrets,reads,1
identity-profile-3,secrets,subscribes,1
insight-report-3,secrets,calls,1
identity-consent-1,secrets,subscribes,1
insight-events-3,secrets,calls,1
delivery-carrier-1,secrets,reads,1
catalog-pricing-feed-2,secrets,publishes,1
identity-session-3,secrets,subscribes,1
checkout-payment-1,secrets,reads,1
catalog-pricing-feed-1,secrets,calls,1
catalog-ranking-2,secrets,publishes,1
catalog-media-3,secrets,subscribes,1
delivery-routing-3,secrets,reads,1
catalog-inventory-2,gateway,subscribes,1
delivery-warehouse-3,gateway,reads,1
checkout-refund-1,gateway,reads,1
checkout-tax-1,gateway,publishes,1
checkout-invoice-1,gateway,calls,1
insight-report-1,gateway,reads,1
checkout-refund-2,gateway,publishes,1
insight-forecast-1,gateway,publishes,1
delivery-carrier-2,gateway,subscribes,1
checkout-cart-1,gateway,calls,1
catalog-search-1,gateway,reads,1
insight-warehouse-etl-2,gateway,reads,1
identity-audit-2,gateway,reads,1
catalog-search-2,gateway,reads,1
checkout-cart-2,gateway,calls,1
catalog-search-3,gateway,calls,1
checkout-tax-3,gateway,publishes,1
checkout-pricing-2,gateway,publishes,1
insight-forecast-3,gateway,publishes,1
insight-forecast-2,gateway,subscribes,1
identity-signin-1,gateway,reads,1
catalog-media-2,gateway,publishes,1
insight-report-3,gateway,subscribes,1
catalog-ranking-2,gateway,subscribes,1
identity-consent-3,gateway,calls,1
identity-session-2,gateway,reads,1
checkout-invoice-3,gateway,reads,1
checkout-cart-3,gateway,publishes,1
insight-warehouse-etl-1,gateway,calls,1
delivery-carrier-1,gateway,reads,1
catalog-inventory-3,gateway,publishes,1
delivery-tracking-3,gateway,reads,1
identity-consent-2,gateway,reads,1
identity-profile-2,gateway,publishes,1
catalog-pricing-feed-2,gateway,publishes,1
delivery-routing-2,gateway,publishes,1
insight-report-2,bus,reads,1
checkout-invoice-3,bus,reads,1
insight-report-1,bus,calls,1
catalog-inventory-3,bus,subscribes,1
identity-session-3,bus,subscribes,1
catalog-ranking-3,bus,calls,1
catalog-inventory-2,bus,subscribes,1
identity-signin-3,bus,calls,1
checkout-refund-2,bus,reads,1
identity-profile-2,bus,calls,1
identity-consent-1,bus,publishes,1
checkout-pricing-3,bus,publishes,1
insight-report-3,bus,subscribes,1
checkout-pricing-2,bus,calls,1
insight-warehouse-etl-3,bus,publishes,1
identity-signin-1,bus,reads,1
delivery-carrier-2,bus,reads,1
delivery-tracking-3,bus,calls,1
checkout-cart-3,bus,subscribes,1
checkout-cart-1,bus,reads,1
insight-forecast-3,bus,subscribes,1
identity-session-2,bus,publishes,1
catalog-search-1,bus,reads,1
identity-signin-2,bus,publishes,1
insight-warehouse-etl-1,bus,subscribes,1
catalog-inventory-1,bus,reads,1
identity-session-1,bus,subscribes,1
insight-events-1,bus,publishes,1
checkout-tax-2,bus,calls,1
delivery-routing-2,bus,reads,1
checkout-invoice-1,bus,calls,1
checkout-refund-1,bus,subscribes,1
checkout-tax-3,bus,reads,1
checkout-refund-3,bus,publishes,1
insight-warehouse-etl-2,bus,reads,1
checkout-cart-2,bus,calls,1
